conforming_loan_limit,derived_sex,action_taken,loan_amount,loan_term,property_value,income,debt_to_income_ratio
NC,Female,1,875000.0,360.0,1095000.0,300.0,30%-<36%
C,Sex Not Available,1,285000.0,360.0,365000.0,72.0,38
C,Male,1,165000.0,360.0,175000.0,79.0,30%-<36%
NC,Joint,1,835000.0,360.0,1045000.0,229.0,30%-<36%
NC,Joint,1,1305000.0,360.0,1625000.0,367.0,42
C,Joint,1,345000.0,360.0,415000.0,99.0,38
C,Joint,1,185000.0,360.0,225000.0,116.0,38
NC,Male,1,625000.0,360.0,785000.0,185.0,39
C,Male,1,295000.0,360.0,365000.0,82.0,20%-<30%
C,Female,1,165000.0,360.0,215000.0,71.0,36
C,Male,1,105000.0,360.0,125000.0,34.0,30%-<36%
NC,Joint,1,715000.0,360.0,895000.0,254.0,20%-<30%
C,Male,1,305000.0,360.0,335000.0,124.0,45
C,Joint,1,45000.0,240.0,45000.0,36.0,20%-<30%
C,Joint,1,535000.0,372.0,835000.0,140.0,47
C,Joint,1,365000.0,360.0,385000.0,112.0,30%-<36%
C,Female,1,205000.0,360.0,255000.0,44.0,39
C,Male,1,275000.0,360.0,385000.0,236.0,<20%
NC,Sex Not Available,1,1995000.0,360.0,2505000.0,889.0,<20%
NC,Male,1,1285000.0,360.0,1605000.0,310.0,30%-<36%
C,Male,1,195000.0,360.0,365000.0,69.0,44
C,Male,1,445000.0,360.0,625000.0,128.0,42
NC,Male,1,785000.0,360.0,975000.0,174.0,42
C,Joint,1,375000.0,360.0,465000.0,153.0,42
NC,Joint,1,815000.0,360.0,1365000.0,173.0,42
C,Joint,1,75000.0,360.0,75000.0,70.0,39
NC,Joint,1,465000.0,360.0,585000.0,119.0,30%-<36%
NC,Joint,1,1275000.0,360.0,1595000.0,302.0,38
C,Joint,1,275000.0,360.0,425000.0,199.0,20%-<30%
C,Female,1,215000.0,360.0,235000.0,41.0,44
C,Joint,1,225000.0,240.0,305000.0,87.0,20%-<30%
C,Male,1,455000.0,360.0,565000.0,105.0,41
C,Male,1,275000.0,360.0,315000.0,50.0,48
C,Sex Not Available,1,285000.0,360.0,295000.0,95.0,45
C,Joint,1,195000.0,360.0,385000.0,53.0,20%-<30%
C,Joint,1,375000.0,360.0,425000.0,128.0,30%-<36%
C,Joint,1,235000.0,360.0,245000.0,119.0,30%-<36%
C,Female,1,215000.0,360.0,245000.0,63.0,30%-<36%
C,Joint,1,235000.0,360.0,255000.0,92.0,43
C,Male,1,385000.0,360.0,435000.0,155.0,40
C,Female,1,55000.0,180.0,75000.0,42.0,<20%
C,Male,1,55000.0,360.0,155000.0,112.0,<20%
C,Joint,1,155000.0,180.0,255000.0,130.0,20%-<30%
C,Female,1,105000.0,360.0,115000.0,186.0,37
NC,Joint,1,685000.0,360.0,1485000.0,460.0,<20%
C,Male,1,115000.0,360.0,145000.0,53.0,43
C,Male,1,265000.0,360.0,325000.0,40.0,49
C,Joint,1,465000.0,360.0,675000.0,118.0,44
C,Male,1,205000.0,360.0,255000.0,54.0,47
C,Male,1,225000.0,360.0,235000.0,136.0,30%-<36%
C,Joint,1,305000.0,360.0,385000.0,151.0,43
C,Female,1,105000.0,360.0,125000.0,77.0,20%-<30%
C,Male,1,155000.0,360.0,225000.0,23.0,47
C,Male,1,295000.0,360.0,335000.0,93.0,38
C,Female,1,75000.0,276.0,85000.0,29.0,47
C,Joint,1,55000.0,360.0,65000.0,42.0,42
C,Female,1,95000.0,180.0,105000.0,110.0,30%-<36%
C,Male,1,125000.0,360.0,155000.0,43.0,30%-<36%
C,Female,1,395000.0,360.0,505000.0,167.0,20%-<30%
C,Joint,1,395000.0,360.0,495000.0,94.0,40
C,Male,1,205000.0,360.0,325000.0,60.0,49
C,Female,1,245000.0,360.0,285000.0,100.0,41
C,Male,1,635000.0,360.0,705000.0,456.0,<20%
C,Female,1,515000.0,360.0,555000.0,207.0,30%-<36%
C,Female,1,515000.0,360.0,635000.0,203.0,45
C,Female,1,165000.0,360.0,205000.0,84.0,<20%
NC,Joint,1,465000.0,360.0,605000.0,400.0,20%-<30%
C,Joint,1,195000.0,360.0,335000.0,109.0,20%-<30%
C,Female,1,15000.0,120.0,25000.0,12.0,30%-<36%
NC,Male,1,635000.0,360.0,715000.0,202.0,30%-<36%
C,Joint,1,585000.0,360.0,615000.0,114.0,45
C,Joint,1,55000.0,276.0,55000.0,61.0,20%-<30%
C,Joint,1,405000.0,360.0,505000.0,176.0,47
NC,Male,1,515000.0,360.0,645000.0,185.0,20%-<30%
C,Female,1,255000.0,360.0,265000.0,79.0,30%-<36%
C,Male,1,95000.0,360.0,105000.0,40.0,38
C,Female,1,455000.0,360.0,605000.0,120.0,46
NC,Joint,1,755000.0,360.0,1155000.0,294.0,30%-<36%
C,Female,1,275000.0,360.0,285000.0,72.0,39
C,Male,1,165000.0,360.0,225000.0,30.0,44
C,Joint,1,75000.0,360.0,95000.0,33.0,39
C,Joint,1,635000.0,360.0,805000.0,100.0,49
NC,Joint,1,545000.0,360.0,675000.0,207.0,30%-<36%
C,Female,1,345000.0,360.0,425000.0,126.0,30%-<36%
C,Male,1,95000.0,360.0,105000.0,62.0,20%-<30%
C,Female,1,155000.0,360.0,155000.0,37.0,37
C,Joint,1,305000.0,360.0,1175000.0,276.0,46
NC,Joint,1,545000.0,360.0,575000.0,180.0,30%-<36%
C,Male,1,205000.0,360.0,255000.0,117.0,44
C,Male,1,315000.0,360.0,335000.0,144.0,20%-<30%
C,Male,1,175000.0,360.0,255000.0,61.0,40
C,Sex Not Available,1,215000.0,360.0,275000.0,96.0,20%-<30%
C,Joint,1,455000.0,360.0,565000.0,226.0,30%-<36%
C,Female,1,65000.0,360.0,75000.0,33.0,30%-<36%
C,Joint,1,255000.0,180.0,495000.0,100.0,39
C,Joint,1,145000.0,360.0,185000.0,67.0,20%-<30%
NC,Joint,1,525000.0,360.0,655000.0,297.0,20%-<30%
C,Male,1,165000.0,360.0,175000.0,50.0,46
C,Joint,1,405000.0,360.0,425000.0,131.0,46
C,Female,1,355000.0,360.0,445000.0,117.0,30%-<36%
C,Male,1,25000.0,180.0,25000.0,62.0,<20%
C,Male,1,315000.0,360.0,345000.0,872.0,<20%
C,Female,1,445000.0,360.0,495000.0,164.0,46
C,Female,1,365000.0,360.0,435000.0,91.0,30%-<36%
